2020-12-14 11:04:28 DEBUG logging:38 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2020-12-14 11:04:29 DEBUG HibernatePersistenceProvider:88 - Located and parsed 1 persistence units; checking each
2020-12-14 11:04:29 DEBUG HibernatePersistenceProvider:96 - Checking persistence-unit [name=SurveyBuilder, explicit-provider=org.hibernate.ejb.HibernatePersistence] against incoming persistence unit name [SurveyBuilder]
2020-12-14 11:04:29 DEBUG ProviderChecker:86 - Persistence-unit [SurveyBuilder] requested PersistenceProvider [org.hibernate.ejb.HibernatePersistence]
2020-12-14 11:04:29 WARN  ProviderChecker:58 - HHH015016: Encountered a deprecated javax.persistence.spi.PersistenceProvider [org.hibernate.ejb.HibernatePersistence]; [org.hibernate.jpa.HibernatePersistenceProvider] will be used instead.
2020-12-14 11:04:29 DEBUG LogHelper:102 - PersistenceUnitInfo [
	name: SurveyBuilder
	persistence provider classname: org.hibernate.ejb.HibernatePersistence
	classloader: null
	excludeUnlistedClasses: false
	JTA datasource: null
	Non JTA datasource: null
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/C:/Users/Siddharth/Desktop/SurveyBuilderDemo/target/classes/
	Shared Cache Mode: null
	Validation Mode: null
	Jar files URLs []
	Managed classes names [
		com.sbEntity.Survey
		com.sbEntity.Question
		com.sbEntity.Surveyor
		com.sbEntity.Respondent]
	Mapping files names []
	Properties [
		hibernate.connection.username: postgres
		hibernate.connection.password: Sid@1998
		hibernate.dialect: org.hibernate.dialect.PostgreSQLDialect
		hibernate.connection.url: jdbc:postgresql://localhost:5432/surveybuilder
		hibernate.connection.driver_class: org.postgresql.Driver
		hibernate.hbm2ddl.auto: update]
2020-12-14 11:04:29 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2020-12-14 11:04:29 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2020-12-14 11:04:29 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2020-12-14 11:04:29 INFO  Version:46 - HHH000412: Hibernate Core {5.4.1.Final}
2020-12-14 11:04:29 DEBUG Environment:199 - HHH000206: hibernate.properties not found
2020-12-14 11:04:29 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2020-12-14 11:04:29 DEBUG RegionFactoryInitiator:118 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2020-12-14 11:04:29 DEBUG RegionFactoryInitiator:49 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2020-12-14 11:04:29 INFO  Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@1184ab05
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@1184ab05
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@1184ab05
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@36c88a32
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@1c93084c
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration yes_no -> org.hibernate.type.YesNoType@7ce3cb8e
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@22a637e7
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@22a637e7
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@22a637e7
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration character -> org.hibernate.type.CharacterType@2473d930
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration char -> org.hibernate.type.CharacterType@2473d930
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@2473d930
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@5ae50ce6
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@5ae50ce6
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@5ae50ce6
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration integer -> org.hibernate.type.IntegerType@48e4374
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration int -> org.hibernate.type.IntegerType@48e4374
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@48e4374
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration long -> org.hibernate.type.LongType@418e7838
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration long -> org.hibernate.type.LongType@418e7838
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@418e7838
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration float -> org.hibernate.type.FloatType@470f1802
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration float -> org.hibernate.type.FloatType@470f1802
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@470f1802
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration double -> org.hibernate.type.DoubleType@72a7c7e0
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration double -> org.hibernate.type.DoubleType@72a7c7e0
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@72a7c7e0
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@29626d54
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@29626d54
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@4b0b0854
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@4b0b0854
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration string -> org.hibernate.type.StringType@67a20f67
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.String -> org.hibernate.type.StringType@67a20f67
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@13e39c73
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@654f0d9c
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration url -> org.hibernate.type.UrlType@9353778
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@9353778
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration Duration -> org.hibernate.type.DurationType@c267ef4
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@c267ef4
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration Instant -> org.hibernate.type.InstantType@3daa422a
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@3daa422a
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@3d51f06e
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@3d51f06e
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@41fbdac4
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@41fbdac4
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@2c767a52
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@2c767a52
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@2ef3eef9
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@2ef3eef9
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@16ec5519
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@16ec5519
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@72057ecf
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@72057ecf
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration date -> org.hibernate.type.DateType@40ef3420
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Date -> org.hibernate.type.DateType@40ef3420
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration time -> org.hibernate.type.TimeType@59fd97a8
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@59fd97a8
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration timestamp -> org.hibernate.type.TimestampType@61862a7f
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@61862a7f
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@61862a7f
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@1d9b7cce
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration calendar -> org.hibernate.type.CalendarType@6c80d78a
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@6c80d78a
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@6c80d78a
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@7fa98a66
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration locale -> org.hibernate.type.LocaleType@32eff876
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@32eff876
2020-12-14 11:04:30 DEBUG BasicTypeRegistry:156 - Adding type registration currency -> org.hibernate.type.CurrencyType@6aba2b86
